BackgroundIntensity;speed
0;{}
0.01;{}
0.031;{{585, 0.07113039970391984}, {640, 0.059275333086599866}, {700, 0.059275333086599866}, {755, 0.07113039970391984}, {815, 0.05080742835994275}, {880, 0.059275333086599866}, {940, 0.059275333086599866}, {1000, 0.059275333086599866}, {1060, 0.059275333086599866}, {1120, 0.059275333086599866}, {1180, 0.059275333086599866}, {1240, 0.059275333086599866}, {1300, 0.059275333086599866}, {1360, 0.059275333086599866}, {1415, 0.07113039970391984}, {1470, 0.059275333086599866}, {1530, 0.059275333086599866}, {1590, 0.059275333086599866}, {1650, 0.059275333086599866}, {1710, 0.059275333086599866}, {1770, 0.059275333086599866}, {1835, 0.05080742835994275}, {1905, 0.05080742835994275}, {1970, 0.059275333086599866}, {2040, 0.0444564998149499}, {2120, 0.0444564998149499}, {2215, 0.03233199986541811}, {2365, 0.018718526237873644}}
0.0315;{{585, 0.07113039970391984}, {640, 0.059275333086599866}, {695, 0.07113039970391984}, {750, 0.059275333086599866}, {810, 0.059275333086599866}, {870, 0.059275333086599866}, {930, 0.059275333086599866}, {985, 0.07113039970391984}, {1040, 0.059275333086599866}, {1100, 0.059275333086599866}, {1160, 0.059275333086599866}, {1215, 0.07113039970391984}, {1270, 0.059275333086599866}, {1325, 0.07113039970391984}, {1380, 0.059275333086599866}, {1435, 0.07113039970391984}, {1490, 0.059275333086599866}, {1545, 0.07113039970391984}, {1600, 0.059275333086599866}, {1655, 0.07113039970391984}, {1710, 0.059275333086599866}, {1770, 0.059275333086599866}, {1825, 0.07113039970391984}, {1880, 0.059275333086599866}, {1945, 0.05080742835994275}, {2010, 0.059275333086599866}, {2075, 0.05080742835994275}, {2145, 0.05080742835994275}, {2220, 0.0444564998149499}, {2310, 0.03556519985195992}, {2450, 0.019758444362199958}}
0.032;{{585, 0.07113039970391984}, {635, 0.07113039970391984}, {690, 0.059275333086599866}, {750, 0.059275333086599866}, {805, 0.07113039970391984}, {860, 0.059275333086599866}, {920, 0.059275333086599866}, {975, 0.07113039970391984}, {1030, 0.059275333086599866}, {1090, 0.059275333086599866}, {1145, 0.07113039970391984}, {1200, 0.059275333086599866}, {1255, 0.07113039970391984}, {1310, 0.059275333086599866}, {1365, 0.07113039970391984}, {1415, 0.07113039970391984}, {1470, 0.059275333086599866}, {1525, 0.07113039970391984}, {1580, 0.059275333086599866}, {1635, 0.07113039970391984}, {1690, 0.059275333086599866}, {1745, 0.07113039970391984}, {1800, 0.059275333086599866}, {1860, 0.059275333086599866}, {1920, 0.059275333086599866}, {1980, 0.059275333086599866}, {2045, 0.05080742835994275}, {2115, 0.05080742835994275}, {2185, 0.05080742835994275}, {2260, 0.0444564998149499}, {2350, 0.03556519985195992}, {2490, 0.019758444362199958}}
0.0325;{{580, 0.059275333086599866}, {635, 0.07113039970391984}, {685, 0.07113039970391984}, {740, 0.059275333086599866}, {800, 0.059275333086599866}, {855, 0.07113039970391984}, {910, 0.059275333086599866}, {965, 0.07113039970391984}, {1020, 0.059275333086599866}, {1075, 0.07113039970391984}, {1130, 0.059275333086599866}, {1185, 0.07113039970391984}, {1235, 0.07113039970391984}, {1290, 0.059275333086599866}, {1345, 0.07113039970391984}, {1395, 0.07113039970391984}, {1445, 0.07113039970391984}, {1495, 0.07113039970391984}, {1550, 0.059275333086599866}, {1605, 0.07113039970391984}, {1655, 0.07113039970391984}, {1705, 0.07113039970391984}, {1760, 0.059275333086599866}, {1815, 0.07113039970391984}, {1870, 0.059275333086599866}, {1930, 0.059275333086599866}, {1990, 0.059275333086599866}, {2050, 0.059275333086599866}, {2110, 0.059275333086599866}, {2175, 0.05080742835994275}, {2245, 0.05080742835994275}, {2320, 0.0444564998149499}, {2415, 0.03233199986541811}, {2560, 0.019758444362199958}}
0.033;{{575, 0.07113039970391984}, {630, 0.059275333086599866}, {685, 0.07113039970391984}, {740, 0.059275333086599866}, {795, 0.07113039970391984}, {850, 0.059275333086599866}, {905, 0.07113039970391984}, {960, 0.059275333086599866}, {1015, 0.07113039970391984}, {1065, 0.07113039970391984}, {1120, 0.059275333086599866}, {1175, 0.07113039970391984}, {1225, 0.07113039970391984}, {1275, 0.07113039970391984}, {1325, 0.07113039970391984}, {1380, 0.059275333086599866}, {1435, 0.07113039970391984}, {1485, 0.07113039970391984}, {1535, 0.07113039970391984}, {1585, 0.07113039970391984}, {1635, 0.07113039970391984}, {1690, 0.059275333086599866}, {1745, 0.07113039970391984}, {1795, 0.07113039970391984}, {1850, 0.059275333086599866}, {1905, 0.07113039970391984}, {1960, 0.059275333086599866}, {2020, 0.059275333086599866}, {2080, 0.059275333086599866}, {2140, 0.059275333086599866}, {2205, 0.05080742835994275}, {2275, 0.05080742835994275}, {2350, 0.0444564998149499}, {2435, 0.039516888724399915}, {2545, 0.02735784603996917}}
0.0335;{{575, 0.07113039970391984}, {625, 0.07113039970391984}, {680, 0.059275333086599866}, {735, 0.07113039970391984}, {790, 0.059275333086599866}, {845, 0.07113039970391984}, {895, 0.07113039970391984}, {950, 0.059275333086599866}, {1005, 0.07113039970391984}, {1055, 0.07113039970391984}, {1105, 0.07113039970391984}, {1160, 0.059275333086599866}, {1215, 0.07113039970391984}, {1265, 0.07113039970391984}, {1315, 0.07113039970391984}, {1365, 0.07113039970391984}, {1415, 0.07113039970391984}, {1465, 0.07113039970391984}, {1515, 0.07113039970391984}, {1565, 0.07113039970391984}, {1615, 0.07113039970391984}, {1665, 0.07113039970391984}, {1715, 0.07113039970391984}, {1765, 0.07113039970391984}, {1815, 0.07113039970391984}, {1870, 0.059275333086599866}, {1925, 0.07113039970391984}, {1975, 0.07113039970391984}, {2030, 0.059275333086599866}, {2090, 0.059275333086599866}, {2150, 0.059275333086599866}, {2210, 0.059275333086599866}, {2275, 0.05080742835994275}, {2345, 0.05080742835994275}, {2415, 0.05080742835994275}, {2495, 0.039516888724399915}, {2610, 0.025403714179971375}}
0.034;{{575, 0.07113039970391984}, {625, 0.07113039970391984}, {675, 0.07113039970391984}, {730, 0.059275333086599866}, {785, 0.07113039970391984}, {835, 0.07113039970391984}, {885, 0.07113039970391984}, {935, 0.07113039970391984}, {990, 0.059275333086599866}, {1045, 0.07113039970391984}, {1095, 0.07113039970391984}, {1145, 0.07113039970391984}, {1190, 0.0889129996298998}, {1235, 0.07113039970391984}, {1285, 0.07113039970391984}, {1335, 0.07113039970391984}, {1385, 0.07113039970391984}, {1435, 0.07113039970391984}, {1485, 0.07113039970391984}, {1530, 0.0889129996298998}, {1575, 0.07113039970391984}, {1625, 0.07113039970391984}, {1675, 0.07113039970391984}, {1725, 0.07113039970391984}, {1775, 0.07113039970391984}, {1825, 0.07113039970391984}, {1880, 0.059275333086599866}, {1935, 0.07113039970391984}, {1985, 0.07113039970391984}, {2040, 0.059275333086599866}, {2100, 0.059275333086599866}, {2155, 0.07113039970391984}, {2215, 0.05080742835994275}, {2280, 0.059275333086599866}, {2340, 0.059275333086599866}, {2410, 0.0444564998149499}, {2485, 0.05080742835994275}, {2570, 0.03556519985195992}, {2705, 0.02092070579527054}}
0.0345;{{575, 0.07113039970391984}, {625, 0.07113039970391984}, {675, 0.07113039970391984}, {725, 0.07113039970391984}, {775, 0.07113039970391984}, {830, 0.059275333086599866}, {885, 0.07113039970391984}, {935, 0.07113039970391984}, {985, 0.07113039970391984}, {1035, 0.07113039970391984}, {1085, 0.07113039970391984}, {1135, 0.07113039970391984}, {1185, 0.07113039970391984}, {1235, 0.07113039970391984}, {1285, 0.07113039970391984}, {1330, 0.0889129996298998}, {1375, 0.07113039970391984}, {1425, 0.07113039970391984}, {1475, 0.07113039970391984}, {1525, 0.07113039970391984}, {1570, 0.0889129996298998}, {1615, 0.07113039970391984}, {1665, 0.07113039970391984}, {1715, 0.07113039970391984}, {1765, 0.07113039970391984}, {1815, 0.07113039970391984}, {1865, 0.07113039970391984}, {1915, 0.07113039970391984}, {1965, 0.07113039970391984}, {2015, 0.07113039970391984}, {2070, 0.059275333086599866}, {2125, 0.07113039970391984}, {2180, 0.059275333086599866}, {2240, 0.059275333086599866}, {2300, 0.059275333086599866}, {2360, 0.059275333086599866}, {2425, 0.05080742835994275}, {2495, 0.05080742835994275}, {2575, 0.039516888724399915}, {2675, 0.03233199986541811}}
0.035;{{570, 0.0889129996298998}, {615, 0.07113039970391984}, {670, 0.059275333086599866}, {725, 0.07113039970391984}, {775, 0.07113039970391984}, {825, 0.07113039970391984}, {875, 0.07113039970391984}, {925, 0.07113039970391984}, {975, 0.07113039970391984}, {1025, 0.07113039970391984}, {1070, 0.0889129996298998}, {1115, 0.07113039970391984}, {1165, 0.07113039970391984}, {1215, 0.07113039970391984}, {1260, 0.0889129996298998}, {1305, 0.07113039970391984}, {1355, 0.07113039970391984}, {1405, 0.07113039970391984}, {1450, 0.0889129996298998}, {1495, 0.07113039970391984}, {1545, 0.07113039970391984}, {1590, 0.0889129996298998}, {1635, 0.07113039970391984}, {1685, 0.07113039970391984}, {1730, 0.0889129996298998}, {1775, 0.07113039970391984}, {1825, 0.07113039970391984}, {1875, 0.07113039970391984}, {1925, 0.07113039970391984}, {1975, 0.07113039970391984}, {2025, 0.07113039970391984}, {2080, 0.059275333086599866}, {2135, 0.07113039970391984}, {2185, 0.07113039970391984}, {2240, 0.059275333086599866}, {2300, 0.059275333086599866}, {2360, 0.059275333086599866}, {2425, 0.05080742835994275}, {2490, 0.059275333086599866}, {2560, 0.0444564998149499}, {2645, 0.039516888724399915}, {2755, 0.02735784603996917}}
0.0355;{{565, 0.07113039970391984}, {615, 0.07113039970391984}, {665, 0.07113039970391984}, {715, 0.07113039970391984}, {765, 0.07113039970391984}, {815, 0.07113039970391984}, {865, 0.07113039970391984}, {915, 0.07113039970391984}, {965, 0.07113039970391984}, {1015, 0.07113039970391984}, {1065, 0.07113039970391984}, {1110, 0.0889129996298998}, {1155, 0.07113039970391984}, {1205, 0.07113039970391984}, {1250, 0.0889129996298998}, {1295, 0.07113039970391984}, {1340, 0.0889129996298998}, {1385, 0.07113039970391984}, {1435, 0.07113039970391984}, {1480, 0.0889129996298998}, {1525, 0.07113039970391984}, {1570, 0.0889129996298998}, {1615, 0.07113039970391984}, {1665, 0.07113039970391984}, {1710, 0.0889129996298998}, {1755, 0.07113039970391984}, {1805, 0.07113039970391984}, {1855, 0.07113039970391984}, {1905, 0.07113039970391984}, {1955, 0.07113039970391984}, {2005, 0.07113039970391984}, {2055, 0.07113039970391984}, {2105, 0.07113039970391984}, {2160, 0.059275333086599866}, {2215, 0.07113039970391984}, {2270, 0.059275333086599866}, {2325, 0.07113039970391984}, {2380, 0.059275333086599866}, {2445, 0.05080742835994275}, {2510, 0.059275333086599866}, {2580, 0.0444564998149499}, {2660, 0.0444564998149499}, {2750, 0.03556519985195992}}
