BackgroundIntensity;speed
0;{}
0.01;{}
0.036;{{565, 0.07113039970391984}, {615, 0.07113039970391984}, {665, 0.07113039970391984}, {715, 0.07113039970391984}, {765, 0.07113039970391984}, {815, 0.07113039970391984}, {865, 0.07113039970391984}, {915, 0.07113039970391984}, {965, 0.07113039970391984}, {1010, 0.0889129996298998}, {1055, 0.07113039970391984}, {1105, 0.07113039970391984}, {1155, 0.07113039970391984}, {1200, 0.0889129996298998}, {1245, 0.07113039970391984}, {1290, 0.0889129996298998}, {1335, 0.07113039970391984}, {1385, 0.07113039970391984}, {1430, 0.0889129996298998}, {1475, 0.07113039970391984}, {1520, 0.0889129996298998}, {1565, 0.07113039970391984}, {1610, 0.0889129996298998}, {1655, 0.07113039970391984}, {1705, 0.07113039970391984}, {1750, 0.0889129996298998}, {1795, 0.07113039970391984}, {1845, 0.07113039970391984}, {1895, 0.07113039970391984}, {1940, 0.0889129996298998}, {1985, 0.07113039970391984}, {2035, 0.07113039970391984}, {2085, 0.07113039970391984}, {2140, 0.059275333086599866}, {2195, 0.07113039970391984}, {2245, 0.07113039970391984}, {2300, 0.059275333086599866}, {2355, 0.07113039970391984}, {2410, 0.059275333086599866}, {2475, 0.05080742835994275}, {2540, 0.059275333086599866}, {2605, 0.05080742835994275}, {2680, 0.0444564998149499}, {2770, 0.03556519985195992}, {2915, 0.018718526237873644}}
0.0365;{{565, 0.07113039970391984}, {615, 0.07113039970391984}, {660, 0.0889129996298998}, {705, 0.07113039970391984}, {755, 0.07113039970391984}, {805, 0.07113039970391984}, {855, 0.07113039970391984}, {905, 0.07113039970391984}, {955, 0.07113039970391984}, {1005, 0.07113039970391984}, {1050, 0.0889129996298998}, {1095, 0.07113039970391984}, {1140, 0.0889129996298998}, {1185, 0.07113039970391984}, {1235, 0.07113039970391984}, {1280, 0.0889129996298998}, {1325, 0.07113039970391984}, {1370, 0.0889129996298998}, {1415, 0.07113039970391984}, {1460, 0.0889129996298998}, {1505, 0.07113039970391984}, {1550, 0.0889129996298998}, {1595, 0.07113039970391984}, {1640, 0.0889129996298998}, {1685, 0.07113039970391984}, {1730, 0.0889129996298998}, {1775, 0.07113039970391984}, {1820, 0.0889129996298998}, {1865, 0.07113039970391984}, {1915, 0.07113039970391984}, {1965, 0.07113039970391984}, {2010, 0.0889129996298998}, {2055, 0.07113039970391984}, {2105, 0.07113039970391984}, {2155, 0.07113039970391984}, {2210, 0.059275333086599866}, {2265, 0.07113039970391984}, {2315, 0.07113039970391984}, {2370, 0.059275333086599866}, {2430, 0.059275333086599866}, {2490, 0.059275333086599866}, {2550, 0.059275333086599866}, {2615, 0.05080742835994275}, {2685, 0.05080742835994275}, {2760, 0.0444564998149499}, {2860, 0.029637666543299933}}
0.037;{{560, 0.0889129996298998}, {605, 0.07113039970391984}, {655, 0.07113039970391984}, {705, 0.07113039970391984}, {755, 0.07113039970391984}, {805, 0.07113039970391984}, {855, 0.07113039970391984}, {900, 0.0889129996298998}, {945, 0.07113039970391984}, {995, 0.07113039970391984}, {1040, 0.0889129996298998}, {1085, 0.07113039970391984}, {1130, 0.0889129996298998}, {1175, 0.07113039970391984}, {1220, 0.0889129996298998}, {1265, 0.07113039970391984}, {1310, 0.0889129996298998}, {1355, 0.07113039970391984}, {1400, 0.0889129996298998}, {1445, 0.07113039970391984}, {1490, 0.0889129996298998}, {1530, 0.0889129996298998}, {1575, 0.07113039970391984}, {1620, 0.0889129996298998}, {1665, 0.07113039970391984}, {1710, 0.0889129996298998}, {1755, 0.07113039970391984}, {1800, 0.0889129996298998}, {1845, 0.07113039970391984}, {1895, 0.07113039970391984}, {1940, 0.0889129996298998}, {1985, 0.07113039970391984}, {2035, 0.07113039970391984}, {2085, 0.07113039970391984}, {2135, 0.07113039970391984}, {2185, 0.07113039970391984}, {2235, 0.07113039970391984}, {2285, 0.07113039970391984}, {2335, 0.07113039970391984}, {2390, 0.059275333086599866}, {2450, 0.059275333086599866}, {2510, 0.059275333086599866}, {2570, 0.059275333086599866}, {2630, 0.059275333086599866}, {2700, 0.0444564998149499}, {2780, 0.0444564998149499}, {2870, 0.03556519985195992}}
0.0375;{{560, 0.0889129996298998}, {605, 0.07113039970391984}, {655, 0.07113039970391984}, {705, 0.07113039970391984}, {755, 0.07113039970391984}, {800, 0.0889129996298998}, {845, 0.07113039970391984}, {895, 0.07113039970391984}, {940, 0.0889129996298998}, {985, 0.07113039970391984}, {1030, 0.0889129996298998}, {1075, 0.07113039970391984}, {1120, 0.0889129996298998}, {1165, 0.07113039970391984}, {1210, 0.0889129996298998}, {1250, 0.0889129996298998}, {1295, 0.07113039970391984}, {1340, 0.0889129996298998}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1465, 0.07113039970391984}, {1510, 0.0889129996298998}, {1550, 0.0889129996298998}, {1595, 0.07113039970391984}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1725, 0.07113039970391984}, {1770, 0.0889129996298998}, {1815, 0.07113039970391984}, {1860, 0.0889129996298998}, {1905, 0.07113039970391984}, {1950, 0.0889129996298998}, {1995, 0.07113039970391984}, {2045, 0.07113039970391984}, {2090, 0.0889129996298998}, {2135, 0.07113039970391984}, {2185, 0.07113039970391984}, {2235, 0.07113039970391984}, {2285, 0.07113039970391984}, {2340, 0.059275333086599866}, {2395, 0.07113039970391984}, {2445, 0.07113039970391984}, {2500, 0.059275333086599866}, {2560, 0.059275333086599866}, {2620, 0.059275333086599866}, {2685, 0.05080742835994275}, {2755, 0.05080742835994275}, {2835, 0.039516888724399915}, {2935, 0.03233199986541811}}
0.038;{{560, 0.0889129996298998}, {605, 0.07113039970391984}, {655, 0.07113039970391984}, {705, 0.07113039970391984}, {750, 0.0889129996298998}, {795, 0.07113039970391984}, {845, 0.07113039970391984}, {895, 0.07113039970391984}, {940, 0.0889129996298998}, {985, 0.07113039970391984}, {1030, 0.0889129996298998}, {1075, 0.07113039970391984}, {1120, 0.0889129996298998}, {1165, 0.07113039970391984}, {1210, 0.0889129996298998}, {1250, 0.0889129996298998}, {1295, 0.07113039970391984}, {1340, 0.0889129996298998}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1465, 0.07113039970391984}, {1510, 0.0889129996298998}, {1550, 0.0889129996298998}, {1595, 0.07113039970391984}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1725, 0.07113039970391984}, {1770, 0.0889129996298998}, {1815, 0.07113039970391984}, {1860, 0.0889129996298998}, {1905, 0.07113039970391984}, {1950, 0.0889129996298998}, {1995, 0.07113039970391984}, {2040, 0.0889129996298998}, {2085, 0.07113039970391984}, {2135, 0.07113039970391984}, {2185, 0.07113039970391984}, {2235, 0.07113039970391984}, {2285, 0.07113039970391984}, {2335, 0.07113039970391984}, {2385, 0.07113039970391984}, {2440, 0.059275333086599866}, {2500, 0.059275333086599866}, {2560, 0.059275333086599866}, {2620, 0.059275333086599866}, {2680, 0.059275333086599866}, {2745, 0.05080742835994275}, {2820, 0.0444564998149499}, {2910, 0.03556519985195992}, {3060, 0.01778259992597996}}
0.0385;{{555, 0.07113039970391984}, {600, 0.0889129996298998}, {645, 0.07113039970391984}, {695, 0.07113039970391984}, {740, 0.0889129996298998}, {785, 0.07113039970391984}, {835, 0.07113039970391984}, {880, 0.0889129996298998}, {925, 0.07113039970391984}, {970, 0.0889129996298998}, {1015, 0.07113039970391984}, {1060, 0.0889129996298998}, {1100, 0.0889129996298998}, {1145, 0.07113039970391984}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1270, 0.0889129996298998}, {1315, 0.07113039970391984}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1525, 0.07113039970391984}, {1570, 0.0889129996298998}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1695, 0.07113039970391984}, {1740, 0.0889129996298998}, {1780, 0.0889129996298998}, {1825, 0.07113039970391984}, {1870, 0.0889129996298998}, {1910, 0.0889129996298998}, {1955, 0.07113039970391984}, {2000, 0.0889129996298998}, {2045, 0.07113039970391984}, {2095, 0.07113039970391984}, {2140, 0.0889129996298998}, {2185, 0.07113039970391984}, {2235, 0.07113039970391984}, {2285, 0.07113039970391984}, {2335, 0.07113039970391984}, {2385, 0.07113039970391984}, {2435, 0.07113039970391984}, {2490, 0.059275333086599866}, {2545, 0.07113039970391984}, {2600, 0.059275333086599866}, {2660, 0.059275333086599866}, {2720, 0.059275333086599866}, {2785, 0.05080742835994275}, {2860, 0.0444564998149499}, {2945, 0.039516888724399915}, {3055, 0.02735784603996917}}
0.039;{{555, 0.07113039970391984}, {605, 0.07113039970391984}, {650, 0.0889129996298998}, {695, 0.07113039970391984}, {745, 0.07113039970391984}, {790, 0.0889129996298998}, {835, 0.07113039970391984}, {885, 0.07113039970391984}, {930, 0.0889129996298998}, {975, 0.07113039970391984}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1105, 0.07113039970391984}, {1150, 0.0889129996298998}, {1190, 0.0889129996298998}, {1235, 0.07113039970391984}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1445, 0.07113039970391984}, {1490, 0.0889129996298998}, {1530, 0.0889129996298998}, {1570, 0.0889129996298998}, {1615, 0.07113039970391984}, {1660, 0.0889129996298998}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1785, 0.07113039970391984}, {1830, 0.0889129996298998}, {1875, 0.07113039970391984}, {1920, 0.0889129996298998}, {1965, 0.07113039970391984}, {2010, 0.0889129996298998}, {2055, 0.07113039970391984}, {2100, 0.0889129996298998}, {2145, 0.07113039970391984}, {2195, 0.07113039970391984}, {2245, 0.07113039970391984}, {2295, 0.07113039970391984}, {2345, 0.07113039970391984}, {2395, 0.07113039970391984}, {2445, 0.07113039970391984}, {2500, 0.059275333086599866}, {2555, 0.07113039970391984}, {2610, 0.059275333086599866}, {2670, 0.059275333086599866}, {2730, 0.059275333086599866}, {2795, 0.05080742835994275}, {2870, 0.0444564998149499}, {2960, 0.03556519985195992}, {3095, 0.02092070579527054}}
0.0395;{{560, 0.0889129996298998}, {605, 0.07113039970391984}, {650, 0.0889129996298998}, {695, 0.07113039970391984}, {745, 0.07113039970391984}, {790, 0.0889129996298998}, {835, 0.07113039970391984}, {885, 0.07113039970391984}, {930, 0.0889129996298998}, {975, 0.07113039970391984}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1105, 0.07113039970391984}, {1150, 0.0889129996298998}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1275, 0.07113039970391984}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1445, 0.07113039970391984}, {1490, 0.0889129996298998}, {1530, 0.0889129996298998}, {1570, 0.0889129996298998}, {1610, 0.0889129996298998}, {1655, 0.07113039970391984}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1785, 0.07113039970391984}, {1830, 0.0889129996298998}, {1870, 0.0889129996298998}, {1915, 0.07113039970391984}, {1960, 0.0889129996298998}, {2005, 0.07113039970391984}, {2050, 0.0889129996298998}, {2095, 0.07113039970391984}, {2145, 0.07113039970391984}, {2190, 0.0889129996298998}, {2235, 0.07113039970391984}, {2285, 0.07113039970391984}, {2335, 0.07113039970391984}, {2385, 0.07113039970391984}, {2440, 0.059275333086599866}, {2495, 0.07113039970391984}, {2550, 0.059275333086599866}, {2605, 0.07113039970391984}, {2665, 0.05080742835994275}, {2730, 0.059275333086599866}, {2795, 0.05080742835994275}, {2870, 0.0444564998149499}, {2955, 0.039516888724399915}, {3075, 0.023710133234639948}}
0.04;{{555, 0.07113039970391984}, {605, 0.07113039970391984}, {650, 0.0889129996298998}, {695, 0.07113039970391984}, {745, 0.07113039970391984}, {790, 0.0889129996298998}, {835, 0.07113039970391984}, {885, 0.07113039970391984}, {930, 0.0889129996298998}, {975, 0.07113039970391984}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1105, 0.07113039970391984}, {1150, 0.0889129996298998}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1270, 0.0889129996298998}, {1315, 0.07113039970391984}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1565, 0.07113039970391984}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1690, 0.0889129996298998}, {1730, 0.0889129996298998}, {1775, 0.07113039970391984}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1905, 0.07113039970391984}, {1950, 0.0889129996298998}, {1995, 0.07113039970391984}, {2040, 0.0889129996298998}, {2085, 0.07113039970391984}, {2130, 0.0889129996298998}, {2175, 0.07113039970391984}, {2225, 0.07113039970391984}, {2275, 0.07113039970391984}, {2325, 0.07113039970391984}, {2375, 0.07113039970391984}, {2425, 0.07113039970391984}, {2475, 0.07113039970391984}, {2530, 0.059275333086599866}, {2590, 0.059275333086599866}, {2650, 0.059275333086599866}, {2710, 0.059275333086599866}, {2770, 0.059275333086599866}, {2840, 0.0444564998149499}, {2920, 0.0444564998149499}, {3015, 0.03233199986541811}}
0.0405;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {685, 0.07113039970391984}, {730, 0.0889129996298998}, {775, 0.07113039970391984}, {820, 0.0889129996298998}, {865, 0.07113039970391984}, {910, 0.0889129996298998}, {950, 0.0889129996298998}, {990, 0.0889129996298998}, {1035, 0.07113039970391984}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1160, 0.0889129996298998}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1645, 0.07113039970391984}, {1690, 0.0889129996298998}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1895, 0.07113039970391984}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2025, 0.07113039970391984}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2155, 0.07113039970391984}, {2205, 0.07113039970391984}, {2250, 0.0889129996298998}, {2295, 0.07113039970391984}, {2345, 0.07113039970391984}, {2395, 0.07113039970391984}, {2445, 0.07113039970391984}, {2495, 0.07113039970391984}, {2545, 0.07113039970391984}, {2600, 0.059275333086599866}, {2655, 0.07113039970391984}, {2710, 0.059275333086599866}, {2770, 0.059275333086599866}, {2835, 0.05080742835994275}, {2905, 0.05080742835994275}, {2980, 0.0444564998149499}, {3065, 0.039516888724399915}, {3205, 0.018718526237873644}}
0.041;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {685, 0.07113039970391984}, {730, 0.0889129996298998}, {775, 0.07113039970391984}, {820, 0.0889129996298998}, {865, 0.07113039970391984}, {910, 0.0889129996298998}, {950, 0.0889129996298998}, {995, 0.07113039970391984}, {1040, 0.0889129996298998}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1160, 0.0889129996298998}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1525, 0.07113039970391984}, {1570, 0.0889129996298998}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1690, 0.0889129996298998}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1895, 0.07113039970391984}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2025, 0.07113039970391984}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2155, 0.07113039970391984}, {2205, 0.07113039970391984}, {2250, 0.0889129996298998}, {2295, 0.07113039970391984}, {2345, 0.07113039970391984}, {2395, 0.07113039970391984}, {2445, 0.07113039970391984}, {2495, 0.07113039970391984}, {2545, 0.07113039970391984}, {2595, 0.07113039970391984}, {2650, 0.059275333086599866}, {2710, 0.059275333086599866}, {2770, 0.059275333086599866}, {2830, 0.059275333086599866}, {2895, 0.05080742835994275}, {2970, 0.0444564998149499}, {3055, 0.039516888724399915}, {3175, 0.023710133234639948}}
0.0415;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {685, 0.07113039970391984}, {730, 0.0889129996298998}, {775, 0.07113039970391984}, {820, 0.0889129996298998}, {865, 0.07113039970391984}, {910, 0.0889129996298998}, {950, 0.0889129996298998}, {990, 0.0889129996298998}, {1035, 0.07113039970391984}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1160, 0.0889129996298998}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1840, 0.0889129996298998}, {1885, 0.07113039970391984}, {1930, 0.0889129996298998}, {1970, 0.0889129996298998}, {2010, 0.0889129996298998}, {2055, 0.07113039970391984}, {2100, 0.0889129996298998}, {2145, 0.07113039970391984}, {2190, 0.0889129996298998}, {2235, 0.07113039970391984}, {2280, 0.0889129996298998}, {2325, 0.07113039970391984}, {2375, 0.07113039970391984}, {2425, 0.07113039970391984}, {2475, 0.07113039970391984}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2630, 0.059275333086599866}, {2685, 0.07113039970391984}, {2740, 0.059275333086599866}, {2800, 0.059275333086599866}, {2865, 0.05080742835994275}, {2935, 0.05080742835994275}, {3010, 0.0444564998149499}, {3105, 0.03233199986541811}}
0.042;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {685, 0.07113039970391984}, {730, 0.0889129996298998}, {775, 0.07113039970391984}, {820, 0.0889129996298998}, {860, 0.0889129996298998}, {905, 0.07113039970391984}, {950, 0.0889129996298998}, {990, 0.0889129996298998}, {1030, 0.0889129996298998}, {1070, 0.0889129996298998}, {1110, 0.0889129996298998}, {1155, 0.07113039970391984}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1840, 0.0889129996298998}, {1880, 0.0889129996298998}, {1920, 0.0889129996298998}, {1965, 0.07113039970391984}, {2010, 0.0889129996298998}, {2050, 0.0889129996298998}, {2095, 0.07113039970391984}, {2140, 0.0889129996298998}, {2185, 0.07113039970391984}, {2230, 0.0889129996298998}, {2275, 0.07113039970391984}, {2325, 0.07113039970391984}, {2370, 0.0889129996298998}, {2415, 0.07113039970391984}, {2465, 0.07113039970391984}, {2515, 0.07113039970391984}, {2570, 0.059275333086599866}, {2625, 0.07113039970391984}, {2675, 0.07113039970391984}, {2730, 0.059275333086599866}, {2790, 0.059275333086599866}, {2855, 0.05080742835994275}, {2925, 0.05080742835994275}, {2995, 0.05080742835994275}, {3080, 0.03556519985195992}, {3210, 0.02222824990747495}}
0.0425;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {685, 0.07113039970391984}, {730, 0.0889129996298998}, {770, 0.0889129996298998}, {815, 0.07113039970391984}, {860, 0.0889129996298998}, {900, 0.0889129996298998}, {940, 0.0889129996298998}, {985, 0.07113039970391984}, {1030, 0.0889129996298998}, {1070, 0.0889129996298998}, {1110, 0.0889129996298998}, {1150, 0.0889129996298998}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1270, 0.0889129996298998}, {1305, 0.11855066617319973}, {1340, 0.0889129996298998}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1460, 0.0889129996298998}, {1500, 0.0889129996298998}, {1540, 0.0889129996298998}, {1580, 0.0889129996298998}, {1620, 0.0889129996298998}, {1660, 0.0889129996298998}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1780, 0.0889129996298998}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1985, 0.07113039970391984}, {2030, 0.0889129996298998}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2155, 0.07113039970391984}, {2200, 0.0889129996298998}, {2245, 0.07113039970391984}, {2295, 0.07113039970391984}, {2340, 0.0889129996298998}, {2385, 0.07113039970391984}, {2435, 0.07113039970391984}, {2485, 0.07113039970391984}, {2535, 0.07113039970391984}, {2585, 0.07113039970391984}, {2640, 0.059275333086599866}, {2695, 0.07113039970391984}, {2750, 0.059275333086599866}, {2810, 0.059275333086599866}, {2870, 0.059275333086599866}, {2935, 0.05080742835994275}, {3010, 0.0444564998149499}, {3095, 0.039516888724399915}, {3210, 0.025403714179971375}}
0.043;{{550, 0.0889129996298998}, {595, 0.07113039970391984}, {640, 0.0889129996298998}, {680, 0.0889129996298998}, {725, 0.07113039970391984}, {770, 0.0889129996298998}, {810, 0.0889129996298998}, {855, 0.07113039970391984}, {900, 0.0889129996298998}, {940, 0.0889129996298998}, {980, 0.0889129996298998}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1100, 0.0889129996298998}, {1140, 0.0889129996298998}, {1180, 0.0889129996298998}, {1220, 0.0889129996298998}, {1260, 0.0889129996298998}, {1300, 0.0889129996298998}, {1340, 0.0889129996298998}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1460, 0.0889129996298998}, {1500, 0.0889129996298998}, {1540, 0.0889129996298998}, {1575, 0.11855066617319973}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1690, 0.0889129996298998}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1855, 0.07113039970391984}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2020, 0.0889129996298998}, {2060, 0.0889129996298998}, {2105, 0.07113039970391984}, {2150, 0.0889129996298998}, {2195, 0.07113039970391984}, {2240, 0.0889129996298998}, {2285, 0.07113039970391984}, {2330, 0.0889129996298998}, {2375, 0.07113039970391984}, {2425, 0.07113039970391984}, {2475, 0.07113039970391984}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2625, 0.07113039970391984}, {2675, 0.07113039970391984}, {2730, 0.059275333086599866}, {2785, 0.07113039970391984}, {2845, 0.05080742835994275}, {2910, 0.059275333086599866}, {2975, 0.05080742835994275}, {3050, 0.0444564998149499}, {3140, 0.03556519985195992}, {3280, 0.019758444362199958}}
0.0435;{{550, 0.0889129996298998}, {590, 0.0889129996298998}, {635, 0.07113039970391984}, {680, 0.0889129996298998}, {720, 0.0889129996298998}, {765, 0.07113039970391984}, {810, 0.0889129996298998}, {850, 0.0889129996298998}, {890, 0.0889129996298998}, {930, 0.0889129996298998}, {975, 0.07113039970391984}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1100, 0.0889129996298998}, {1135, 0.11855066617319973}, {1170, 0.0889129996298998}, {1210, 0.0889129996298998}, {1250, 0.0889129996298998}, {1290, 0.0889129996298998}, {1330, 0.0889129996298998}, {1370, 0.0889129996298998}, {1410, 0.0889129996298998}, {1445, 0.11855066617319973}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1840, 0.0889129996298998}, {1880, 0.0889129996298998}, {1920, 0.0889129996298998}, {1960, 0.0889129996298998}, {2000, 0.0889129996298998}, {2040, 0.0889129996298998}, {2085, 0.07113039970391984}, {2130, 0.0889129996298998}, {2170, 0.0889129996298998}, {2215, 0.07113039970391984}, {2260, 0.0889129996298998}, {2305, 0.07113039970391984}, {2350, 0.0889129996298998}, {2395, 0.07113039970391984}, {2445, 0.07113039970391984}, {2495, 0.07113039970391984}, {2545, 0.07113039970391984}, {2595, 0.07113039970391984}, {2645, 0.07113039970391984}, {2695, 0.07113039970391984}, {2750, 0.059275333086599866}, {2810, 0.059275333086599866}, {2870, 0.059275333086599866}, {2930, 0.059275333086599866}, {2995, 0.05080742835994275}, {3070, 0.0444564998149499}, {3160, 0.03556519985195992}, {3295, 0.02092070579527054}}
0.044;{{550, 0.0889129996298998}, {590, 0.0889129996298998}, {630, 0.0889129996298998}, {675, 0.07113039970391984}, {720, 0.0889129996298998}, {760, 0.0889129996298998}, {805, 0.07113039970391984}, {850, 0.0889129996298998}, {890, 0.0889129996298998}, {930, 0.0889129996298998}, {970, 0.0889129996298998}, {1010, 0.0889129996298998}, {1050, 0.0889129996298998}, {1090, 0.0889129996298998}, {1130, 0.0889129996298998}, {1165, 0.11855066617319973}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1320, 0.0889129996298998}, {1360, 0.0889129996298998}, {1395, 0.11855066617319973}, {1430, 0.0889129996298998}, {1470, 0.0889129996298998}, {1510, 0.0889129996298998}, {1550, 0.0889129996298998}, {1590, 0.0889129996298998}, {1625, 0.11855066617319973}, {1660, 0.0889129996298998}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1780, 0.0889129996298998}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2025, 0.07113039970391984}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2150, 0.0889129996298998}, {2195, 0.07113039970391984}, {2240, 0.0889129996298998}, {2285, 0.07113039970391984}, {2330, 0.0889129996298998}, {2375, 0.07113039970391984}, {2425, 0.07113039970391984}, {2470, 0.0889129996298998}, {2515, 0.07113039970391984}, {2565, 0.07113039970391984}, {2615, 0.07113039970391984}, {2670, 0.059275333086599866}, {2725, 0.07113039970391984}, {2780, 0.059275333086599866}, {2835, 0.07113039970391984}, {2890, 0.059275333086599866}, {2955, 0.05080742835994275}, {3025, 0.05080742835994275}, {3100, 0.0444564998149499}, {3190, 0.03556519985195992}, {3325, 0.02092070579527054}}
