BackgroundIntensity;distance;Membrane GEF @ illuminated pole @ t=0;Membrane GEF @ non-illuminated pole @ t=0;Cytosol GEF @ illuminated pole @ t=0;Cytosol GEF @ non-illuminated pole @ t=0;Membrane GEF @ illuminated pole @ t=300;Membrane GEF @ non-illuminated pole @ t=300;Cytosol GEF @ illuminated pole @ t=300;Cytosol GEF @ non-illuminated pole @ t=300;Membrane GEF @ illuminated pole @ t=600;Membrane GEF @ non-illuminated pole @ t=600;Cytosol GEF @ illuminated pole @ t=600;Cytosol GEF @ non-illuminated pole @ t=600;Membrane GEF @ illuminated pole @ t=900;Membrane GEF @ non-illuminated pole @ t=900;Cytosol GEF @ illuminated pole @ t=900;Cytosol GEF @ non-illuminated pole @ t=900;Membrane GEF @ illuminated pole @ t=1200;Membrane GEF @ non-illuminated pole @ t=1200;Cytosol GEF @ illuminated pole @ t=1200;Cytosol GEF @ non-illuminated pole @ t=1200;Membrane GEF @ illuminated pole @ t=1500;Membrane GEF @ non-illuminated pole @ t=1500;Cytosol GEF @ illuminated pole @ t=1500;Cytosol GEF @ non-illuminated pole @ t=1500;Membrane GEF @ illuminated pole @ t=1800;Membrane GEF @ non-illuminated pole @ t=1800;Cytosol GEF @ illuminated pole @ t=1800;Cytosol GEF @ non-illuminated pole @ t=1800;Membrane GEF @ illuminated pole @ t=2100;Membrane GEF @ non-illuminated pole @ t=2100;Cytosol GEF @ illuminated pole @ t=2100;Cytosol GEF @ non-illuminated pole @ t=2100;Membrane GEF @ illuminated pole @ t=2400;Membrane GEF @ non-illuminated pole @ t=2400;Cytosol GEF @ illuminated pole @ t=2400;Cytosol GEF @ non-illuminated pole @ t=2400;Membrane GEF @ illuminated pole @ t=2700;Membrane GEF @ non-illuminated pole @ t=2700;Cytosol GEF @ illuminated pole @ t=2700;Cytosol GEF @ non-illuminated pole @ t=2700;Membrane GEF @ illuminated pole @ t=3000;Membrane GEF @ non-illuminated pole @ t=3000;Cytosol GEF @ illuminated pole @ t=3000;Cytosol GEF @ non-illuminated pole @ t=3000;Membrane GEF @ illuminated pole @ t=3300;Membrane GEF @ non-illuminated pole @ t=3300;Cytosol GEF @ illuminated pole @ t=3300;Cytosol GEF @ non-illuminated pole @ t=3300;Membrane GEF @ illuminated pole @ t=3600;Membrane GEF @ non-illuminated pole @ t=3600;Cytosol GEF @ illuminated pole @ t=3600;Cytosol GEF @ non-illuminated pole @ t=3600;Membrane GEF @ illuminated pole @ t=3900;Membrane GEF @ non-illuminated pole @ t=3900;Cytosol GEF @ illuminated pole @ t=3900;Cytosol GEF @ non-illuminated pole @ t=3900;Membrane GEF @ illuminated pole @ t=4200;Membrane GEF @ non-illuminated pole @ t=4200;Cytosol GEF @ illuminated pole @ t=4200;Cytosol GEF @ non-illuminated pole @ t=4200;Membrane GEF @ illuminated pole @ t=4500;Membrane GEF @ non-illuminated pole @ t=4500;Cytosol GEF @ illuminated pole @ t=4500;Cytosol GEF @ non-illuminated pole @ t=4500;Membrane GEF @ illuminated pole @ t=4800;Membrane GEF @ non-illuminated pole @ t=4800;Cytosol GEF @ illuminated pole @ t=4800;Cytosol GEF @ non-illuminated pole @ t=4800;Membrane GEF @ illuminated pole @ t=5100;Membrane GEF @ non-illuminated pole @ t=5100;Cytosol GEF @ illuminated pole @ t=5100;Cytosol GEF @ non-illuminated pole @ t=5100;Membrane GEF @ illuminated pole @ t=5400;Membrane GEF @ non-illuminated pole @ t=5400;Cytosol GEF @ illuminated pole @ t=5400;Cytosol GEF @ non-illuminated pole @ t=5400;Membrane GEF @ illuminated pole @ t=5700;Membrane GEF @ non-illuminated pole @ t=5700;Cytosol GEF @ illuminated pole @ t=5700;Cytosol GEF @ non-illuminated pole @ t=5700;Membrane GEF @ illuminated pole @ t=6000;Membrane GEF @ non-illuminated pole @ t=6000;Cytosol GEF @ illuminated pole @ t=6000;Cytosol GEF @ non-illuminated pole @ t=6000
0.0145;41.88790204786391;5.3109e-7;7.6104e-9;60.;60.;3.1741;0.16454;59.895;59.989;3.2812;0.26068;59.947;59.989;2.9681;0.30879;59.974;59.99;2.5634;0.32526;59.99;59.991;2.1645;0.32158;60.;59.993;1.8043;0.30568;60.005;59.995;1.4913;0.28265;60.009;59.996;1.226;0.25625;60.01;59.997;1.0046;0.22914;60.011;59.998;0.82121;0.20271;60.011;59.998;0.66984;0.17774;60.011;59.999;0.54569;0.15468;60.01;59.999;0.44434;0.13385;60.01;59.999;0.36162;0.11534;60.009;59.999;0.29414;0.099003;60.008;59.999;0.23928;0.08469;60.007;59.999;0.19467;0.072256;60.007;59.999;0.15835;0.061506;60.006;59.999;0.1288;0.052238;60.005;59.999;0.10483;0.044282;60.005;59.999
0.015;44.87989505128276;5.3135e-7;7.8728e-9;60.;60.;3.1788;0.17018;59.894;59.989;3.2891;0.26962;59.946;59.988;2.9778;0.31939;59.974;59.989;2.5738;0.33643;59.99;59.991;2.1748;0.33258;59.999;59.993;1.8143;0.31627;60.005;59.994;1.5005;0.29267;60.009;59.996;1.2339;0.26551;60.01;59.997;1.0111;0.23721;60.011;59.998;0.82668;0.20949;60.011;59.998;0.67496;0.18347;60.011;59.999;0.55049;0.15969;60.01;59.999;0.44854;0.13826;60.01;59.999;0.36522;0.11915;60.009;59.999;0.29729;0.10226;60.008;59.999;0.24196;0.087475;60.007;59.999;0.19696;0.074623;60.007;59.999;0.16034;0.063507;60.006;59.999;0.13056;0.05393;60.005;59.999;0.10633;0.045712;60.005;59.999
0.0155;44.87989505128276;5.3161e-7;8.135300000000001e-9;60.;60.;3.1822;0.17577;59.894;59.989;3.2959;0.27849;59.946;59.988;2.9865;0.3299;59.973;59.989;2.5834;0.3475;59.989;59.991;2.1845;0.34352;59.999;59.993;1.8236;0.32657;60.005;59.994;1.5094;0.3022;60.008;59.996;1.2421;0.27418;60.01;59.997;1.0183;0.24494;60.011;59.998;0.83303;0.21633;60.011;59.998;0.68056;0.18953;60.011;59.999;0.55534;0.16498;60.01;59.999;0.45268;0.14282;60.009;59.999;0.36876;0.12303;60.009;59.999;0.30031;0.10557;60.008;59.999;0.24457;0.090289;60.007;59.999;0.19918;0.077009;60.007;59.999;0.16222;0.065522;60.006;59.999;0.13215;0.055629;60.005;59.999;0.10769;0.047143;60.005;59.999
0.016;44.87989505128276;5.3188e-7;8.3977e-9;60.;60.;3.1884;0.18153;59.894;59.988;3.3055;0.28762;59.946;59.988;2.9976;0.34066;59.973;59.989;2.595;0.35886;59.989;59.99;2.196;0.35474;59.999;59.992;1.8345;0.3372;60.005;59.994;1.5195;0.31193;60.008;59.995;1.2515;0.28277;60.01;59.997;1.0273;0.25263;60.011;59.998;0.84154;0.22336;60.011;59.998;0.68788;0.19577;60.011;59.999;0.56136;0.17043;60.01;59.999;0.45777;0.14752;60.009;59.999;0.37323;0.12704;60.009;59.999;0.30422;0.10898;60.008;59.999;0.24785;0.09321;60.007;59.999;0.20192;0.079503;60.007;59.999;0.16458;0.067628;60.006;59.999;0.13417;0.057407;60.005;59.999;0.10935;0.048648;60.005;59.999
0.0165;44.87989505128276;5.321399999999999e-7;8.6601e-9;60.;60.;3.1945;0.1873;59.893;59.988;3.3149;0.29675;59.945;59.987;3.0087;0.35152;59.973;59.988;2.6067;0.37028;59.989;59.99;2.2075;0.36603;59.999;59.992;1.8452;0.3477;60.005;59.994;1.5296;0.32146;60.008;59.995;1.2611;0.29148;60.01;59.996;1.0361;0.26053;60.011;59.997;0.84907;0.23034;60.011;59.998;0.69461;0.20192;60.011;59.999;0.56745;0.17579;60.01;59.999;0.4631;0.15217;60.009;59.999;0.37767;0.13109;60.009;59.999;0.30788;0.11248;60.008;59.999;0.25095;0.096185;60.007;59.999;0.20455;0.082016;60.007;59.999;0.16675;0.06976;60.006;59.999;0.13596;0.059207;60.005;59.999;0.11089;0.050157;60.005;59.999
0.017;44.87989505128276;5.324e-7;8.9225e-9;60.;60.;3.2004;0.19306;59.893;59.987;3.3244;0.30589;59.945;59.987;3.0199;0.36235;59.972;59.988;2.6184;0.38169;59.989;59.99;2.219;0.37732;59.998;59.992;1.856;0.35841;60.004;59.994;1.5398;0.33141;60.008;59.995;1.2703;0.30047;60.01;59.996;1.0441;0.26851;60.011;59.997;0.85613;0.23733;60.011;59.998;0.70074;0.208;60.011;59.999;0.5728;0.18106;60.01;59.999;0.46777;0.15676;60.009;59.999;0.38172;0.13507;60.009;59.999;0.31133;0.11592;60.008;59.999;0.25383;0.099133;60.007;59.999;0.20693;0.084521;60.007;59.999;0.16871;0.071881;60.006;59.999;0.13757;0.060999;60.005;59.999;0.1122;0.051666;60.005;59.999
0.0175;44.87989505128276;5.3266e-7;9.185000000000001e-9;60.;60.;3.2065;0.19883;59.892;59.987;3.3339;0.31503;59.944;59.986;3.031;0.37318;59.972;59.988;2.63;0.39309;59.988;59.99;2.232;0.38798;59.998;59.992;1.8692;0.36881;60.004;59.993;1.5519;0.34156;60.008;59.995;1.2806;0.31007;60.01;59.996;1.0525;0.27726;60.011;59.997;0.86293;0.24498;60.011;59.998;0.70648;0.21446;60.011;59.999;0.57784;0.18648;60.01;59.999;0.47222;0.16133;60.009;59.999;0.38561;0.13897;60.009;59.999;0.31472;0.11923;60.008;59.999;0.2568;0.10194;60.007;59.999;0.20953;0.086907;60.007;59.999;0.17098;0.073908;60.006;59.999;0.13953;0.06272;60.005;59.999;0.11389;0.053123;60.005;59.999
0.018;47.87188805470161;5.3293e-7;9.4474e-9;60.;60.;3.2125;0.20461;59.892;59.987;3.3432;0.32418;59.944;59.986;3.0421;0.38402;59.972;59.987;2.6416;0.40452;59.988;59.989;2.242;0.39989;59.998;59.991;1.8778;0.37997;60.004;59.993;1.5596;0.35128;60.008;59.995;1.2885;0.31859;60.01;59.996;1.0604;0.2848;60.01;59.997;0.87028;0.2517;60.011;59.998;0.71292;0.22052;60.011;59.999;0.58333;0.19188;60.01;59.999;0.47687;0.16604;60.009;59.999;0.38955;0.14301;60.009;59.999;0.31805;0.12267;60.008;59.999;0.25961;0.10486;60.007;59.999;0.21189;0.089382;60.007;59.999;0.17295;0.075999;60.006;59.999;0.14119;0.06448;60.005;59.999;0.11529;0.0546;60.005;59.999
0.0185;47.87188805470161;5.3319e-7;9.7098e-9;60.;60.;3.2186;0.21038;59.892;59.986;3.3526;0.33333;59.944;59.986;3.0531;0.39485;59.971;59.987;2.6532;0.41593;59.988;59.989;2.2533;0.41112;59.998;59.991;1.8887;0.39074;60.004;59.993;1.5697;0.36149;60.008;59.995;1.2969;0.32774;60.009;59.996;1.0677;0.29274;60.01;59.997;0.8771;0.25874;60.011;59.998;0.71907;0.22671;60.01;59.999;0.58849;0.19728;60.01;59.999;0.48107;0.17071;60.009;59.999;0.39316;0.14697;60.009;59.999;0.32127;0.126;60.008;59.999;0.26242;0.10768;60.007;59.999;0.21426;0.091794;60.007;59.999;0.17497;0.078046;60.006;59.999;0.14292;0.066208;60.005;59.999;0.11672;0.056055;60.005;59.999
0.019;47.87188805470161;5.3345e-7;9.9722e-9;60.;60.;3.2246;0.21616;59.891;59.986;3.362;0.34249;59.943;59.985;3.0642;0.4057;59.971;59.987;2.6648;0.42736;59.987;59.989;2.2647;0.42242;59.997;59.991;1.8995;0.40141;60.004;59.993;1.5796;0.37115;60.007;59.995;1.3063;0.33643;60.009;59.996;1.0762;0.3005;60.01;59.997;0.88449;0.26545;60.011;59.998;0.72575;0.23248;60.01;59.999;0.59474;0.20226;60.01;59.999;0.48683;0.17505;60.009;59.999;0.39816;0.15079;60.009;59.999;0.32547;0.12936;60.008;59.999;0.26598;0.11059;60.007;59.999;0.21732;0.09426;60.007;59.999;0.17752;0.080154;60.006;59.999;0.14501;0.068016;60.005;59.999;0.11844;0.057608;60.005;59.999
