BackgroundIntensity;distance
0;32.008679866763934
0.01;39.121719837155915
0.0105;39.121719837155915
0.011;39.121719837155915
0.0115;39.121719837155915
0.012;39.121719837155915
0.0125;42.678239822351905
0.013;42.678239822351905
0.0135;42.678239822351905
0.014;42.678239822351905
0.0145;42.678239822351905
0.015;42.678239822351905
0.0155;42.678239822351905
0.016;46.234759807547896
0.0165;46.234759807547896
0.017;46.234759807547896
0.0175;46.234759807547896
0.018;46.234759807547896
0.0185;46.234759807547896
0.019;46.234759807547896
0.0195;49.79127979274389
0.02;49.79127979274389
0.0205;49.79127979274389
0.021;49.79127979274389
0.0215;49.79127979274389
0.022;49.79127979274389
0.0225;53.34779977793988
0.023;53.34779977793988
0.0235;53.34779977793988
0.024;56.904319763135874
0.0245;56.904319763135874
0.025;56.904319763135874
0.0255;60.460839748331864
0.026;60.460839748331864
0.0265;64.01735973352787
0.027;67.57387971872384
0.0275;71.13039970391984
0.028;74.68691968911584
0.0285;81.79995965950782
0.029;88.9129996298998
0.0295;96.0260396002918
0.03;110.25211954107574
0.0305;120.92167949666373
0.031;138.7042794226437
0.0315;149.37383937823168
0.032;152.93035936342767
0.0325;160.04339933381965
0.033;163.59991931901564
0.0335;170.71295928940762
0.034;177.8259992597996
0.0345;181.38251924499562
0.035;188.49555921538757
0.0355;192.0520792005836
0.036;199.16511917097557
0.0365;202.72163915617153
0.037;206.27815914136755
0.0375;213.39119911175953
0.038;216.94771909695555
0.0385;224.0607590673475
0.039;224.0607590673475
0.0395;224.0607590673475
0.04;224.0607590673475
0.0405;238.2868390081315
0.041;238.2868390081315
0.0415;238.2868390081315
0.042;241.84335899332746
0.0425;245.39987897852345
0.043;248.95639896371944
0.0435;252.51291894891546
0.044;256.0694389341115
0.0445;256.0694389341115
0.045;259.62595891930744
0.0455;263.1824789045034
0.046;266.7389988896994
0.0465;266.7389988896994
0.047;270.2955188748954
0.0475;273.8520388600914
0.048;273.8520388600914
0.0485;273.8520388600914
0.049;277.4085588452874
0.0495;277.4085588452874
0.05;280.9650788304834
0.0505;280.9650788304834
0.051;280.9650788304834
0.0515;280.9650788304834
0.052;284.52159881567934
0.0525;284.52159881567934
0.053;284.52159881567934
0.0535;280.9650788304834
0.054;280.9650788304834
0.0545;280.9650788304834
0.055;277.4085588452874
0.0555;273.8520388600914
0.056;270.2955188748954
0.0565;245.39987897852345
0.057;227.6172790525435
0.0575;224.0607590673475
0.058;288.07811880087536
0.0585;376.99111843077515
0.059;376.99111843077515
0.0595;376.99111843077515
0.06;376.99111843077515
